id,class
TEST_000,A
TEST_001,B
TEST_002,B
TEST_003,B
TEST_004,A
TEST_005,B
TEST_006,B
TEST_007,B
TEST_008,A
TEST_009,A
TEST_010,B
TEST_011,B
TEST_012,B
TEST_013,A
TEST_014,B
TEST_015,B
TEST_016,A
TEST_017,B
TEST_018,B
TEST_019,B
TEST_020,B
TEST_021,B
TEST_022,B
TEST_023,A
TEST_024,B
TEST_025,B
TEST_026,B
TEST_027,A
TEST_028,A
TEST_029,B
TEST_030,A
TEST_031,A
TEST_032,B
TEST_033,B
TEST_034,A
TEST_035,B
TEST_036,B
TEST_037,B
TEST_038,B
TEST_039,B
TEST_040,A
TEST_041,B
TEST_042,B
TEST_043,B
TEST_044,B
TEST_045,B
TEST_046,B
TEST_047,B
TEST_048,B
TEST_049,B
TEST_050,A
TEST_051,B
TEST_052,A
TEST_053,B
TEST_054,B
TEST_055,B
TEST_056,C
TEST_057,A
TEST_058,B
TEST_059,C
TEST_060,A
TEST_061,B
TEST_062,B
TEST_063,B
TEST_064,B
TEST_065,A
TEST_066,B
TEST_067,A
TEST_068,A
TEST_069,B
TEST_070,B
TEST_071,B
TEST_072,A
TEST_073,A
TEST_074,B
TEST_075,B
TEST_076,C
TEST_077,B
TEST_078,B
TEST_079,B
TEST_080,B
TEST_081,B
TEST_082,A
TEST_083,B
TEST_084,B
TEST_085,B
TEST_086,B
TEST_087,B
TEST_088,B
TEST_089,A
TEST_090,B
TEST_091,B
TEST_092,B
TEST_093,B
TEST_094,B
TEST_095,B
TEST_096,A
TEST_097,B
TEST_098,A
TEST_099,B
TEST_100,A
TEST_101,B
TEST_102,B
TEST_103,B
TEST_104,A
TEST_105,A
TEST_106,B
TEST_107,B
TEST_108,A
TEST_109,B
TEST_110,B
TEST_111,B
TEST_112,B
TEST_113,B
TEST_114,B
TEST_115,A
TEST_116,A
TEST_117,B
TEST_118,B
TEST_119,B
TEST_120,A
TEST_121,B
TEST_122,B
TEST_123,B
TEST_124,B
TEST_125,B
TEST_126,B
TEST_127,B
TEST_128,A
TEST_129,B
TEST_130,A
TEST_131,A
TEST_132,B
TEST_133,B
TEST_134,B
TEST_135,B
TEST_136,A
TEST_137,A
TEST_138,B
TEST_139,A
TEST_140,A
TEST_141,A
TEST_142,C
TEST_143,B
TEST_144,B
TEST_145,B
TEST_146,A
TEST_147,B
TEST_148,B
TEST_149,A
TEST_150,A
TEST_151,B
TEST_152,A
TEST_153,B
TEST_154,B
TEST_155,A
TEST_156,A
TEST_157,B
TEST_158,B
TEST_159,A
TEST_160,B
TEST_161,B
TEST_162,B
TEST_163,B
TEST_164,A
TEST_165,A
TEST_166,B
TEST_167,B
TEST_168,B
TEST_169,A
TEST_170,B
TEST_171,B
TEST_172,B
TEST_173,B
TEST_174,B
